Block Size,Matrix Size,MFLOP
24,31,24561.8
24,32,25295.6
24,96,38796.2
24,97,29862.0
24,127,33736.8
24,128,31007.9
24,129,31969.1
24,191,37881.1
24,192,37480.6
24,229,35379.2
24,255,34122.9
24,256,34642.0
24,257,36090.5
24,319,35917.0
24,320,34357.1
24,321,36385.9
24,417,35376.8
24,479,37782.7
24,480,35740.8
24,511,34691.8
24,512,34366.1
24,639,35835.5
24,640,35052.7
24,767,36450.6
24,768,33729.1
24,769,35235.7
24,1023,34834.8
24,1024,32413.7
24,1025,33620.7
24,1525,37313.0
24,1526,37792.1
24,1527,36240.5
32,31,46052.4
32,32,47010.7
32,96,44285.3
32,97,34284.4
32,127,46599.6
32,128,47076.6
32,129,36459.2
32,191,45433.7
32,192,47386.7
32,229,40690.7
32,255,44766.7
32,256,45893.6
32,257,39251.1
32,319,45628.7
32,320,45488.6
32,321,40980.3
32,417,42152.9
32,479,44034.5
32,480,45369.8
32,511,41505.5
32,512,43182.4
32,639,44617.3
32,640,41954.0
32,767,42546.7
32,768,42608.2
32,769,38449.0
32,1023,40729.3
32,1024,41463.2
32,1025,41243.3
32,1525,41782.6
32,1526,40732.4
32,1527,43038.0
40,31,45916.9
40,32,49268.0
40,96,44698.8
40,97,41166.0
40,127,42729.7
40,128,43561.4
40,129,40543.1
40,191,52306.6
40,192,48646.8
40,229,47272.0
40,255,48829.6
40,256,49978.9
40,257,48053.5
40,319,52970.1
40,320,51294.3
40,321,48207.0
40,417,50531.2
40,479,52505.5
40,480,52678.8
40,511,49907.3
40,512,50035.9
40,639,49260.6
40,640,50152.0
40,767,47108.8
40,768,47370.6
40,769,47322.7
40,1023,45584.7
40,1024,47016.0
40,1025,45322.3
40,1525,46615.2
40,1526,47826.1
40,1527,45791.3
48,31,38664.4
48,32,43874.0
48,96,57897.7
48,97,35971.5
48,127,50620.5
48,128,53834.6
48,129,47584.4
48,191,58797.2
48,192,58937.8
48,229,56059.6
48,255,56382.4
48,256,55169.6
48,257,51864.2
48,319,55602.2
48,320,55974.0
48,321,54397.2
48,417,54581.9
48,479,54521.2
48,480,54133.8
48,511,51198.6
48,512,52602.9
48,639,50958.7
48,640,50496.0
48,767,50820.3
48,768,51208.7
48,769,48739.2
48,1023,49994.6
48,1024,51892.9
48,1025,51525.6
48,1525,50028.0
48,1526,48778.5
48,1527,48296.6
56,31,37613.1
56,32,41616.6
56,96,54990.8
56,97,48828.4
56,127,49634.9
56,128,52503.0
56,129,45927.2
56,191,53839.9
56,192,55900.5
56,229,53463.5
56,255,60293.5
56,256,60262.1
56,257,54310.2
56,319,58000.0
56,320,60774.4
56,321,56539.8
56,417,56918.7
56,479,56255.0
56,480,55590.0
56,511,54725.6
56,512,52947.3
56,639,56097.0
56,640,55621.0
56,767,56659.0
56,768,54207.0
56,769,55738.5
56,1023,53653.9
56,1024,53183.0
56,1025,51042.1
56,1525,52486.6
56,1526,50454.5
56,1527,52708.2
64,31,33148.2
